progress,score,time
1.125323212,0.674984785,45.461375952
1.154512331,0.684213774,46.622171879
1.183120560,0.693165302,47.783995867
1.211337039,0.701651621,48.959448814
1.240550031,0.710225687,50.142666101
1.269109158,0.718478179,51.295766115
1.298144288,0.726532156,52.469332933
1.326297760,0.734072751,53.640980959
1.355133430,0.741678123,54.807534933
1.383856253,0.748953543,55.968593836
1.413001629,0.756142345,57.148088932
1.442271169,0.763210745,58.306077957
1.470205732,0.769729994,59.468140125
1.499383414,0.776313040,60.647915125
1.527832881,0.782620750,61.811789989
1.557053674,0.788813429,62.984538794
1.584429689,0.794598664,64.161955118
1.613015527,0.800358648,65.325414896
1.641860605,0.806054940,66.492578983
1.670320472,0.811529063,67.660268068
1.698447715,0.816782947,68.828180075
1.726366044,0.821754755,70.019507885
1.754704871,0.826703577,71.210863829
1.784005552,0.831726268,72.398983002
1.813383286,0.836591517,73.584803104
1.840894202,0.841017836,74.766396999
1.869781273,0.845601382,75.925451040
1.898580682,0.849964431,77.102098942
1.926712702,0.854107593,78.282150030
1.955556728,0.858283176,79.442375898
1.984396590,0.862262250,80.624275923
2.013852741,0.866268469,81.802294970
2.043271431,0.870128731,82.980530024
2.072438277,0.873904871,84.142590046
2.101156914,0.877448984,85.337072849
2.130351926,0.880980089,86.519175053
2.159335023,0.884413522,87.689028978
2.187172547,0.887609005,88.869302988
2.216988419,0.890852639,90.065528154
2.243890478,0.893744524,91.257656097
2.273248288,0.896846473,92.446246862
2.302412989,0.899819124,93.618776083
2.331537249,0.902680971,94.791587114
2.358864952,0.905266632,95.984369993
2.388299821,0.908025702,97.173208952
2.417067147,0.910669065,98.367992878
2.445512201,0.913198261,99.589142084
2.474300500,0.915640355,100.804231882
2.502678224,0.917991233,101.982450008
2.531925765,0.920354222,103.180056810
2.562015159,0.922684462,104.388375998
2.591046194,0.924896918,105.591811180
2.619405074,0.927026987,106.766761065
2.648883733,0.929130107,107.960139036
2.678641197,0.931199445,109.149769068
2.707962848,0.933171605,110.363541126
2.737863985,0.935144157,111.610967159
2.766971032,0.937027344,112.795732021
2.796623230,0.938860951,113.982993841
2.825650304,0.940627323,115.172622919
2.855645168,0.942359013,116.391095161
2.884216211,0.943944370,117.630744934
2.914014498,0.945630713,118.860932827
2.943581582,0.947211989,120.065226078
2.973285131,0.948759335,121.290796995
3.000761986,0.950154483,122.516217947
3.030799572,0.951606682,123.736526012
3.060526520,0.953042045,124.954040766
3.090734341,0.954426710,126.155497074
3.120547062,0.955781959,127.378324986
3.149413101,0.957032488,128.587055922
3.179864569,0.958322270,129.801383018
3.210063366,0.959559461,130.999128103
3.239681978,0.960734789,132.204878807
3.268549920,0.961824173,133.441931009
3.298736393,0.962984842,134.674216032
3.328440770,0.964076128,135.877565861
3.357715757,0.965113191,137.097914934
3.386025108,0.966090719,138.353588104
3.414839495,0.967050324,139.579306126
3.445206420,0.968029980,140.790178061
3.475765229,0.968984380,141.999433041
3.505405755,0.969899434,143.226496935
3.535457428,0.970790390,144.424138069
3.565188701,0.971657241,145.641557932
3.595351746,0.972491509,146.852992058
3.625591008,0.973309499,148.060505867
3.653413234,0.974038667,149.286219120
3.683641085,0.974813252,150.494883060
3.713639199,0.975557845,151.704931974
3.743870699,0.976285608,152.901335001
3.773538387,0.976979809,154.152298927
3.804093522,0.977668033,155.394680738
3.834351023,0.978336252,156.610882998
3.864186993,0.978973480,157.839890957
3.893809491,0.979589131,159.059009075
3.922907830,0.980176371,160.273961067
3.953385500,0.980766987,161.496986866
3.984376743,0.981350877,162.724486828
4.013610444,0.981889153,163.935862064
4.043049188,0.982411905,165.151630163
4.073246388,0.982940007,166.377759933
4.103129962,0.983438548,167.598617792
4.132743351,0.983924363,168.804112911
4.159467049,0.984354448,170.031950951
4.189179456,0.984808033,171.277665138
4.219021461,0.985258538,172.526072741
4.248147154,0.985680921,173.760766029
4.277365819,0.986093232,174.987579823
4.305357627,0.986476081,176.193393946
4.335278512,0.986871021,177.407506943
4.364296914,0.987248508,178.634168863
4.394233704,0.987625521,179.836720943
4.422333551,0.987965476,181.048689842
4.452786446,0.988325767,182.268805981
4.482456589,0.988670572,183.484609127
4.512698672,0.989003473,184.715889931
4.542573483,0.989334679,185.985607862
4.572605748,0.989646737,187.225401878
4.603169122,0.989955635,188.461348772
4.633280210,0.990257123,189.683892012
4.662813128,0.990540112,190.919149876
4.692447176,0.990815054,192.127006054
4.722945174,0.991090277,193.344480038
4.753509113,0.991358952,194.539183855
4.784869635,0.991620665,195.772083998
4.812499515,0.991851774,197.001635075
4.842669305,0.992097042,198.211695910
4.872306357,0.992329762,199.420424938
4.903789592,0.992561742,200.675161839
4.933859822,0.992785312,201.926670790
4.963056565,0.992995419,203.174050093
4.993494663,0.993202566,204.422291040
5.023786688,0.993406084,205.629818916
5.054403466,0.993606192,206.888685942
5.083394051,0.993789035,208.085553885
5.113837243,0.993973868,209.303109884
5.144450698,0.994154304,210.543094158
5.174188907,0.994327610,211.772786856
5.200992268,0.994478063,212.994691849
5.231091497,0.994640859,214.221837044
5.261022080,0.994797921,215.443645000
5.290271793,0.994949708,216.672617912
5.318229913,0.995089682,217.927286148
5.347351714,0.995230617,219.152489901
5.376762792,0.995367647,220.368093967
5.406123701,0.995502493,221.567660093
5.435963628,0.995634488,222.775518894
5.463572628,0.995752553,223.981199980
5.493759294,0.995878530,225.186733961
5.523635120,0.995999791,226.379316092
5.554329341,0.996119446,227.591952801
5.583567620,0.996232642,228.800881863
5.614083720,0.996345131,230.001812935
5.644338608,0.996454055,231.205961943
5.674787073,0.996559735,232.406665087
5.704733961,0.996663221,233.660282850
5.735196216,0.996762061,234.891850948
5.765420249,0.996859371,236.102286100
5.795635395,0.996951937,237.302675962
5.826075874,0.997042844,238.526307821
5.855109614,0.997127973,239.737796783
5.884445780,0.997211510,240.925048828
5.914196047,0.997293562,242.129920959
5.944572513,0.997374226,243.356835127
5.974225609,0.997451368,244.568473816
6.004764557,0.997527704,245.776972055
6.035859086,0.997602874,247.008030891
6.066907883,0.997675808,248.221307993
6.097329947,0.997745569,249.482123137
6.127707276,0.997812761,250.701668978
6.157513997,0.997878676,251.925093889
6.186423368,0.997938531,253.135215998
6.216800942,0.998000068,254.349009991
6.246543885,0.998058284,255.547446966
6.276688352,0.998116192,256.750133991
6.306771686,0.998171906,257.940206766
6.337521810,0.998226745,259.145945787
6.367286871,0.998progress,score,seconds
0.026931763,0.968404475,1.090914965
0.055874282,0.993768467,2.185618162
0.084848764,0.972561073,3.280213833
0.113828712,0.955401073,4.374676943
0.142731234,0.940075898,5.468822956
0.171638937,0.925651560,6.562833071
0.200657222,0.911842637,7.656802893
0.229630231,0.898487502,8.750710964
0.258640805,0.885566512,9.844846964
0.287499703,0.873064355,10.933771849
0.316519668,0.860793566,12.027652025
0.345547548,0.848814138,13.121567965
0.374482757,0.837126640,14.210848808
0.403530962,0.825643608,15.304714918
0.432595538,0.814370665,16.398873091
0.461736849,0.803338027,17.492774963
0.491082080,0.792445813,18.586620092
0.520888372,0.781560512,19.680558920
0.550946494,0.770933462,20.775945902
0.580517178,0.760460622,21.869928122
0.610285886,0.750267385,22.963750124
0.639976502,0.740283572,24.057586193
0.669559441,0.730528620,25.151427031
0.698860863,0.721066073,26.245275021
0.728143331,0.711741858,27.339448929
0.757340385,0.702649202,28.433742046
0.786486747,0.693727278,29.527675152
0.815569117,0.684987149,30.621534109
0.844593860,0.676419131,31.715413809
0.873637718,0.668009718,32.809303045
0.902698681,0.659730665,33.903339863
0.931742761,0.651628242,34.997251034
0.960634039,0.643697919,36.086473227
0.989578248,0.635897569,37.180480957
1.016254710,0.637636200,38.274539948
1.045279718,0.648007405,39.368852139
1.074256897,0.658055209,40.462893009
1.103454492,0.667868801,41.558843136
1.132456814,0.677384099,42.653076172
1.161521912,0.686625178,43.747464180
1.190550169,0.695597731,44.842071056
1.219578879,0.704303520,45.936479807
1.248524989,0.712739328,47.030907154
1.277524122,0.720949227,48.125350952
1.306553758,0.728933602,49.219810009
1.335537561,0.736676548,50.313301802
1.364552578,0.744207514,51.408080101
1.393463135,0.751494714,52.500905991
1.422432321,0.758590906,53.595681906
1.451431275,0.765493769,54.690690041
1.480449650,0.772200988,55.785784006
1.509473273,0.778718805,56.881200075
1.538445034,0.785037904,57.976494074
1.567487321,0.791189408,59.071862936
1.596486097,0.797156962,60.167396069
1.625459513,0.802950574,61.262928963
1.654459354,0.808582603,62.359024048
1.683346299,0.814033585,63.452270985
1.712330311,0.819346645,64.548403978
1.741318053,0.824510873,65.644622087
1.770314618,0.829522412,66.741001129
1.799257461,0.834388183,67.837619781
1.828254700,0.839119624,68.934193134
1.857255302,0.843718810,70.030963182
1.886253028,0.848186395,71.127871990
1.915266259,0.852527712,72.224927902
1.944209359,0.856734860,73.322483063
1.973201956,0.860827081,74.419883966
2.002227784,0.864808738,75.517663956
2.031230596,0.868672454,76.615621090
2.060257854,0.872428816,77.713764906
2.089233399,0.876072706,78.812213898
2.118255616,0.879617891,79.910899162
2.147282937,0.883061630,81.009814978
2.176306853,0.886406371,82.108964920
2.205333077,0.889655904,83.208452940
2.234303175,0.892806318,84.308238029
2.263363326,0.895876722,85.408664942
2.292442337,0.898861248,86.509093046
2.321540091,0.901760587,87.609827042
2.350677491,0.904577799,88.712351799
2.379777858,0.907317859,89.813844919
2.408847357,0.909973890,90.915729046
2.437958213,0.912557739,92.018024206
2.466960354,0.915056553,93.118134975
2.495953634,0.917483564,94.218602896
2.525049252,0.919850215,95.321933985
2.554155992,0.922148807,96.425688028
2.583308380,0.924384206,97.529773951
2.612457276,0.926556526,98.634385109
2.641579045,0.928664214,99.739645004
2.670717170,0.930713507,100.844274044
2.699911810,0.932705671,101.950249195
2.729113475,0.934643093,103.056764126
2.758329335,0.936524939,104.163476944
2.787527106,0.938352475,105.270606995
2.816785302,0.940129853,106.378494024
2.846041941,0.941854490,107.486565113
2.875312806,0.943531529,108.595206022
2.904596327,0.945160324,109.704052925
2.933863269,0.946742101,110.813744068
2.963141668,0.948279153,111.923615932
2.992252742,0.949762449,113.033748865
3.021278271,0.951199560,114.144542217
3.050010682,0.952580862,115.256713867
3.079170916,0.953943410,116.368011951
3.108262607,0.955264641,117.480324030
3.137009321,0.956530081,118.592554808
3.166290283,0.957784569,119.705101013
3.195598996,0.959005649,120.818093061
3.224980800,0.960192161,121.932284117
3.254345203,0.961344589,123.045495987
3.283717693,0.962463377,124.158923864
3.313383120,0.963554749,125.277884007
3.342775975,0.964614936,126.392357111
3.372220939,0.965641468,127.507110119
3.401618958,0.966637707,128.622114897
3.431041730,0.967604584,129.736912012
3.460398447,0.968542104,130.852510214
3.489831209,0.969454328,131.968024969
3.519274531,0.970341201,133.083801031
3.548720621,0.971202047,134.200025082
3.578182566,0.972038218,135.316344976
3.607538731,0.972847465,136.432670116
3.637016100,0.973635862,137.549357891
3.666389466,0.974399409,138.663254023
3.695855797,0.975142399,139.779765844
3.725631899,0.975867144,140.903886080
3.755069502,0.976570898,142.020451069
3.784543655,0.977251124,143.137290955
3.814037462,0.977912782,144.254606009
3.843541890,0.978555257,145.371813059
3.872843044,0.979174546,146.484442949
3.902359009,0.979780551,147.602082014
3.931831360,0.980367448,148.719636917
3.961307038,0.980938429,149.837150097
3.990733997,0.981490718,150.952458858
4.020124540,0.982027254,152.068022013
4.049598028,0.982548413,153.185209036
4.078968561,0.983053257,154.298089981
4.108477020,0.983546420,155.415337801
4.138029599,0.984024726,156.533799171
4.167472840,0.984489340,157.651513100
4.196981861,0.984940048,158.769333839
4.226513396,0.985378185,159.887327909
4.255998127,0.985803299,161.004528999
4.285432895,0.986215611,162.121710062
4.314933777,0.986615920,163.239171982
4.344413758,0.987005284,164.356784105
4.373889767,0.987382957,165.474008083
4.403378461,0.987749450,166.591377020
4.432800293,0.988105162,167.708718061
4.462284916,0.988450890,168.826029062
4.491782953,0.988786545,169.943601131
4.521301270,0.989112801,171.061521053
4.550796509,0.989429390,172.178838015
4.580239322,0.989735833,173.296575785
4.609734506,0.990034328,174.414153814
4.639172887,0.990323022,175.531909943
4.668673652,0.990604155,176.649547815
4.698334641,0.990878305,177.770596027
4.727833515,0.991144039,178.888109922
4.757297651,0.991401225,180.005642891
4.786791737,0.991651096,181.123270035
4.816275695,0.991893508,182.240689039
4.845656181,0.992128179,183.358103991
4.875111712,0.992356760,184.475110054
4.904580739,0.992578691,185.592169046
4.934018306,0.992794108,186.709253073
4.963482437,0.993003408,187.826124907
4.992828674,0.993205522,188.942033052
5.022304026,0.993402541,190.059294224
5.051810339,0.993594664,191.176596165
5.081293014,0.993780757,192.293925047
5.111048678,0.993962114,193.415149927
5.140528414,0.994138267,194.532211781
5.170005857,0.994308561,195.649274111
5.199488628,0.994473959,196.766270161
5.228955276,0.994634274,197.881974936
5.258366761,0.994789520,198.998863935
5.287839281,0.994941040,200.115715981
5.317291260,0.995087568,201.232578039
5.346652930,0.995229838,202.347548008
5.376113892,0.995368312,203.463924885
5.405540467,0.995502618,204.580562115
5.434912249,0.995632610,205.697290897
5.464301813,0.995758994,206.813874006
5.493671984,0.995881768,207.930621147
5.522964457,0.996000424,209.043179989
5.552305370,0.996115978,210.159847975
5.581714202,0.996228549,211.276455164
5.611192096,0.996338049,212.392836094
5.640660891,0.996444134,213.509459019
5.670457411,0.996547892,214.632150888
5.699931542,0.996648668,215.748792887
